date,refactoring,qt
2011-05,RTWQ,290
2011-06,CCE,352
2011-06,DC,352
2011-06,EM,352
2011-06,IPO,352
2011-06,PWO,352
2011-06,RMWMO,362
2011-06,RTWQ,352
2011-06,EH,44
2011-06,EI,44
2011-06,ESupC,44
2011-06,MF,44
2011-06,MM,54
2011-06,PF,44
2011-06,PM,44
2011-06,RCWP,54
2011-06,RDWO,44
2011-07,CCE,152
2011-07,DC,152
2011-07,EM,152
2011-07,IPO,152
2011-07,PWO,152
2011-07,RMWMO,160
2011-07,RTWQ,152
2011-07,EH,32
2011-07,EI,32
2011-07,ESupC,32
2011-07,MF,32
2011-07,MM,40
2011-07,PF,32
2011-07,PM,32
2011-07,RCWP,40
2011-07,RDWO,32
2011-08,EH,129
2011-08,EI,129
2011-08,ESupC,129
2011-08,MF,129
2011-08,MM,148
2011-08,PF,129
2011-08,PM,129
2011-08,RCWP,147
2011-08,RDWO,129
2011-08,CCE,858
2011-08,DC,858
2011-08,EM,859
2011-08,IPO,858
2011-08,PWO,858
2011-08,RMWMO,876
2011-08,RTWQ,858
2011-08,ECo,1
2011-08,EF,1
2011-08,HM,1
2011-09,CCE,726
2011-09,DC,726
2011-09,EM,727
2011-09,IPO,726
2011-09,PWO,726
2011-09,RMWMO,740
2011-09,RTWQ,726
2011-09,EH,92
2011-09,EI,92
2011-09,ESupC,92
2011-09,MF,92
2011-09,MM,107
2011-09,PF,92
2011-09,PM,92
2011-09,RCWP,106
2011-09,RDWO,92
2011-09,ECo,1
2011-09,EF,1
2011-09,HM,1
2011-10,CCE,970
2011-10,DC,970
2011-10,EM,972
2011-10,IPO,970
2011-10,PWO,970
2011-10,RMWMO,978
2011-10,RTWQ,970
2011-10,MM,120
2011-10,RCWP,118
2011-10,EH,110
2011-10,EI,110
2011-10,ESupC,110
2011-10,MF,110
2011-10,PF,110
2011-10,PM,110
2011-10,RDWO,110
2011-10,ECo,2
2011-10,EF,2
2011-10,HM,2
2011-11,CCE,520
2011-11,DC,520
2011-11,EM,521
2011-11,IPO,520
2011-11,PWO,520
2011-11,RMWMO,522
2011-11,RTWQ,520
2011-11,EH,46
2011-11,EI,46
2011-11,ESupC,46
2011-11,MF,46
2011-11,MM,49
2011-11,PF,46
2011-11,PM,46
2011-11,RCWP,48
2011-11,RDWO,46
2011-11,ECo,1
2011-11,EF,1
2011-11,HM,1
2011-12,CCE,622
2011-12,DC,622
2011-12,EM,622
2011-12,IPO,622
2011-12,PWO,622
2011-12,RMWMO,626
2011-12,RTWQ,622
2011-12,EH,39
2011-12,EI,39
2011-12,ESupC,39
2011-12,MF,39
2011-12,MM,43
2011-12,PF,39
2011-12,PM,39
2011-12,RCWP,43
2011-12,RDWO,39
2012-01,CCE,156
2012-01,DC,156
2012-01,EM,156
2012-01,IPO,156
2012-01,PWO,156
2012-01,RMWMO,158
2012-01,RTWQ,156
2012-01,EH,19
2012-01,EI,19
2012-01,ESupC,19
2012-01,MF,19
2012-01,MM,21
2012-01,PF,19
2012-01,PM,19
2012-01,RCWP,21
2012-01,RDWO,19
2012-02,CCE,476
2012-02,DC,476
2012-02,EM,479
2012-02,IPO,476
2012-02,PWO,476
2012-02,RMWMO,486
2012-02,RTWQ,476
2012-02,EH,44
2012-02,EI,44
2012-02,ESupC,44
2012-02,MF,44
2012-02,MM,57
2012-02,PF,44
2012-02,PM,44
2012-02,RCWP,54
2012-02,RDWO,44
2012-02,ECo,3
2012-02,EF,3
2012-02,HM,3
2012-03,CCE,580
2012-03,DC,580
2012-03,EM,586
2012-03,IPO,580
2012-03,PWO,580
2012-03,RMWMO,588
2012-03,RTWQ,580
2012-03,EH,95
2012-03,EI,95
2012-03,ESupC,95
2012-03,MF,95
2012-03,MM,109
2012-03,PF,95
2012-03,PM,95
2012-03,RCWP,103
2012-03,RDWO,95
2012-03,ECo,6
2012-03,EF,6
2012-03,HM,6
2012-04,EH,49
2012-04,EI,49
2012-04,ESupC,49
2012-04,MF,49
2012-04,MM,55
2012-04,PF,49
2012-04,PM,49
2012-04,RCWP,53
2012-04,RDWO,49
2012-04,CCE,430
2012-04,DC,430
2012-04,EM,432
2012-04,IPO,430
2012-04,PWO,430
2012-04,RMWMO,434
2012-04,RTWQ,430
2012-04,ECo,2
2012-04,EF,2
2012-04,HM,2
2012-05,CCE,352
2012-05,DC,352
2012-05,EM,355
2012-05,IPO,352
2012-05,PWO,352
2012-05,RMWMO,364
2012-05,RTWQ,352
2012-05,EH,78
2012-05,EI,78
2012-05,ESupC,78
2012-05,MF,78
2012-05,MM,93
2012-05,PF,78
2012-05,PM,78
2012-05,RCWP,90
2012-05,RDWO,78
2012-05,ECo,3
2012-05,EF,3
2012-05,HM,3
2012-06,CCE,428
2012-06,DC,428
2012-06,EM,429
2012-06,IPO,428
2012-06,PWO,428
2012-06,RMWMO,434
2012-06,RTWQ,428
2012-06,EH,59
2012-06,EI,59
2012-06,ESupC,59
2012-06,MF,59
2012-06,MM,66
2012-06,PF,59
2012-06,PM,59
2012-06,RCWP,65
2012-06,RDWO,59
2012-06,ECo,1
2012-06,EF,1
2012-06,HM,1
2012-07,CCE,398
2012-07,DC,398
2012-07,EM,399
2012-07,IPO,398
2012-07,PWO,398
2012-07,RMWMO,398
2012-07,RTWQ,398
2012-07,EH,64
2012-07,EI,64
2012-07,ESupC,64
2012-07,MF,64
2012-07,MM,65
2012-07,PF,64
2012-07,PM,64
2012-07,RCWP,64
2012-07,RDWO,64
2012-07,ECo,1
2012-07,EF,1
2012-07,HM,1
2012-08,CCE,408
2012-08,DC,408
2012-08,EM,408
2012-08,IPO,408
2012-08,PWO,408
2012-08,RMWMO,410
2012-08,RTWQ,408
2012-08,EH,64
2012-08,EI,64
2012-08,ESupC,64
2012-08,MF,64
2012-08,MM,66
2012-08,PF,64
2012-08,PM,64
2012-08,RCWP,66
2012-08,RDWO,64
2012-09,EH,32
2012-09,EI,32
2012-09,ESupC,32
2012-09,MF,32
2012-09,MM,40
2012-09,PF,32
2012-09,PM,32
2012-09,RCWP,40
2012-09,RDWO,32
2012-09,CCE,192
2012-09,DC,192
2012-09,EM,192
2012-09,IPO,192
2012-09,PWO,192
2012-09,RMWMO,200
2012-09,RTWQ,192
2012-10,CCE,466
2012-10,DC,466
2012-10,EM,466
2012-10,IPO,466
2012-10,PWO,466
2012-10,RMWMO,486
2012-10,RTWQ,466
2012-10,EH,60
2012-10,EI,60
2012-10,ESupC,60
2012-10,MF,60
2012-10,MM,80
2012-10,PF,60
2012-10,PM,60
2012-10,RCWP,80
2012-10,RDWO,60
2012-11,CCE,606
2012-11,DC,606
