date,refactoring,qt
2016-03,ESupC,70
2016-03,MF,70
2016-03,MM,83
2016-03,PF,70
2016-03,PM,70
2016-03,RCWP,80
2016-03,RDWO,70
2016-03,CCE,614
2016-03,DC,614
2016-03,EM,617
2016-03,IPO,614
2016-03,PWO,614
2016-03,RMWMO,624
2016-03,RTWQ,614
2016-03,ECo,3
2016-03,EF,3
2016-03,HM,3
2016-04,EH,35
2016-04,EI,35
2016-04,ESupC,35
2016-04,MF,35
2016-04,MM,40
2016-04,PF,35
2016-04,PM,35
2016-04,RCWP,39
2016-04,RDWO,35
2016-04,CCE,248
2016-04,DC,248
2016-04,EM,250
2016-04,IPO,248
2016-04,PWO,248
2016-04,RMWMO,252
2016-04,RTWQ,248
2016-04,ECo,1
2016-04,EF,1
2016-04,HM,1
2016-04,EC,1
2016-05,CCE,126
2016-05,DC,126
2016-05,EM,132
2016-05,IPO,126
2016-05,PWO,126
2016-05,RMWMO,136
2016-05,RTWQ,126
2016-05,MM,28
2016-05,RCWP,26
2016-05,EH,16
2016-05,EI,16
2016-05,ESupC,16
2016-05,MF,16
2016-05,PF,16
2016-05,PM,16
2016-05,RDWO,16
2016-05,EC,4
2016-05,ECo,2
2016-05,EF,2
2016-05,HM,2
2016-06,CCE,176
2016-06,DC,176
2016-06,EM,178
2016-06,IPO,176
2016-06,PWO,176
2016-06,RMWMO,180
2016-06,RTWQ,176
2016-06,EH,34
2016-06,EI,34
2016-06,ESupC,34
2016-06,MF,34
2016-06,MM,39
2016-06,PF,34
2016-06,PM,34
2016-06,RCWP,38
2016-06,RDWO,34
2016-06,ECo,1
2016-06,EF,1
2016-06,HM,1
2016-06,EC,1
2016-07,EH,74
2016-07,EI,74
2016-07,ESupC,74
2016-07,MF,74
2016-07,MM,84
2016-07,PF,74
2016-07,PM,74
2016-07,RCWP,82
2016-07,RDWO,74
2016-07,CCE,500
2016-07,DC,500
2016-07,EM,502
2016-07,IPO,500
2016-07,PWO,500
2016-07,RMWMO,508
2016-07,RTWQ,500
2016-07,ECo,2
2016-07,EF,2
2016-07,HM,2
2016-08,CCE,260
2016-08,DC,260
2016-08,EM,260
2016-08,IPO,260
2016-08,PWO,260
2016-08,RMWMO,262
2016-08,RTWQ,260
2016-08,EH,33
2016-08,EI,33
2016-08,ESupC,33
2016-08,MF,33
2016-08,MM,35
2016-08,PF,33
2016-08,PM,33
2016-08,RCWP,35
2016-08,RDWO,33
2016-09,CCE,544
2016-09,DC,544
2016-09,EM,549
2016-09,IPO,544
2016-09,PWO,544
2016-09,RMWMO,564
2016-09,RTWQ,544
2016-09,EH,76
2016-09,EI,76
2016-09,ESupC,76
2016-09,MF,76
2016-09,MM,99
2016-09,PF,76
2016-09,PM,76
2016-09,RCWP,96
2016-09,RDWO,76
2016-09,ECo,3
2016-09,EF,3
2016-09,HM,3
2016-09,EC,2
2016-10,CCE,188
2016-10,DC,188
2016-10,EM,192
2016-10,IPO,188
2016-10,PWO,188
2016-10,RMWMO,196
2016-10,RTWQ,188
2016-10,EH,30
2016-10,EI,30
2016-10,ESupC,30
2016-10,MF,30
2016-10,MM,41
2016-10,PF,30
2016-10,PM,30
2016-10,RCWP,38
2016-10,RDWO,30
2016-10,ECo,3
2016-10,EF,3
2016-10,HM,3
2016-10,EC,1
2016-11,CCE,486
2016-11,DC,486
2016-11,EM,488
2016-11,IPO,486
2016-11,PWO,486
2016-11,RMWMO,498
2016-11,RTWQ,486
2016-11,EH,73
2016-11,EI,73
2016-11,ESupC,73
2016-11,MF,73
2016-11,MM,86
2016-11,PF,73
2016-11,PM,73
2016-11,RCWP,85
2016-11,RDWO,73
2016-11,ECo,1
2016-11,EF,1
2016-11,HM,1
2016-11,EC,1
2016-12,CCE,180
2016-12,DC,180
2016-12,EM,180
2016-12,IPO,180
2016-12,PWO,180
2016-12,RMWMO,188
2016-12,RTWQ,180
2016-12,EH,33
2016-12,EI,33
2016-12,ESupC,33
2016-12,MF,33
2016-12,MM,41
2016-12,PF,33
2016-12,PM,33
2016-12,RCWP,41
2016-12,RDWO,33
2017-01,CCE,312
2017-01,DC,312
2017-01,EM,312
2017-01,IPO,312
2017-01,PWO,312
2017-01,RMWMO,320
2017-01,RTWQ,312
2017-01,EH,34
2017-01,EI,34
2017-01,ESupC,34
2017-01,MF,34
2017-01,MM,42
2017-01,PF,34
2017-01,PM,34
2017-01,RCWP,42
2017-01,RDWO,34
2017-02,CCE,144
2017-02,DC,144
2017-02,EM,145
2017-02,IPO,144
2017-02,PWO,144
2017-02,RMWMO,148
2017-02,RTWQ,144
2017-02,EH,30
2017-02,EI,30
2017-02,ESupC,30
2017-02,MF,30
2017-02,MM,34
2017-02,PF,30
2017-02,PM,30
2017-02,RCWP,34
2017-02,RDWO,30
2017-02,EC,1
