date,refactoring,qt
2002-01,EC,1
2002-01,CCE,20
2002-01,DC,20
2002-01,IPO,20
2002-01,PWO,20
2002-01,RMWMO,24
2002-01,RTWQ,20
2002-02,EM,402
2002-02,MF,298
2002-02,MM,318
2002-02,CCE,110
2002-02,DC,110
2002-02,IPO,110
2002-02,PWO,110
2002-02,RMWMO,130
2002-02,RTWQ,110
2002-02,RCWP,30
2002-02,EH,10
2002-02,EI,10
2002-02,ESupC,10
2002-02,PF,10
2002-02,PM,10
2002-02,RDWO,10
2002-02,EC,4
2002-03,EH,6
2002-03,EI,6
2002-03,ESupC,6
2002-03,MF,100
2002-03,MM,100
2002-03,PF,6
2002-03,PM,6
2002-03,RCWP,6
2002-03,RDWO,6
2002-03,EM,140
2002-03,CCE,46
2002-03,DC,46
2002-03,IPO,46
2002-03,PWO,46
2002-03,RMWMO,46
2002-03,RTWQ,46
2002-04,EM,650
2002-04,MF,509
2002-04,MM,521
2002-04,CCE,148
2002-04,DC,148
2002-04,IPO,148
2002-04,PWO,148
2002-04,RMWMO,158
2002-04,RTWQ,148
2002-04,EC,2
2002-04,RCWP,21
2002-04,EH,11
2002-04,EI,11
2002-04,ESupC,11
2002-04,PF,11
2002-04,PM,11
2002-04,RDWO,11
2002-04,ECo,2
2002-04,EF,2
2002-04,HM,2
2002-05,EM,130
2002-05,MF,111
2002-05,MM,111
2002-05,EH,3
2002-05,EI,3
2002-05,ESupC,3
2002-05,PF,3
2002-05,PM,3
2002-05,RCWP,3
2002-05,RDWO,3
2002-05,CCE,22
2002-05,DC,22
2002-05,IPO,22
2002-05,PWO,22
2002-05,RMWMO,22
2002-05,RTWQ,22
2004-11,EC,2
2004-11,EM,427
2004-11,MF,344
2004-11,MM,355
2004-11,CCE,86
2004-11,DC,86
2004-11,IPO,86
2004-11,PWO,86
2004-11,RMWMO,96
2004-11,RTWQ,86
2004-11,EH,6
2004-11,EI,6
2004-11,ESupC,6
2004-11,PF,6
2004-11,PM,6
2004-11,RCWP,16
2004-11,RDWO,6
2004-11,ECo,1
2004-11,EF,1
2004-11,HM,1
